ESTADOS,MESAS,VOTANTES
DTTO.CAPITAL,2553,1658846
EDO.AMAZONAS,215,107898
EDO.ANZOATEGUI,1699,1066212
EDO.APURE,611,334267
EDO.ARAGUA,1859,1213072
EDO.BARINAS,1031,560786
EDO.BOLIVAR,1645,973375
EDO.CARABOBO,2354,1561778
EDO.COJEDES,446,240634
EDO.DELTA AMAC,257,120243
EDO.FALCON,1264,668150
EDO.GUARICO,906,526962
EDO.LARA,2149,1261622
EDO.MERIDA,1043,602656
EDO.MIRANDA,3232,2075206
EDO.MONAGAS,1068,625453
EDO.PORTUGUESA,1128,605929
EDO.SUCRE,1187,643442
EDO.TACHIRA,1441,851498
EDO.TRUJILLO,1051,529860
EDO.VARGAS,460,279947
EDO.YARACUY,809,430456
EDO.ZULIA,3802,2452431
EDO.NVA.ESPARTA,565,350191